SmartLog JointAnalysis v1.0 - Tubing Thickness
188, 16, 16
Item,Top,Bottom,Length,NomOD,Weight,TNom,TMin,TMax,TAvg,TRmn,MaxLoss%,DptMxLos,AvLoss %,Defect %,Grade,Comment
84,2221.31201410599,2241.44604980875,20.1340357027561,4.5,11.6,0.25,0.245251993303129,0.250564509969014,0.245856112935618,0.00414388706438198,1.89920267874848,2241.40673828125,1.65755482575279,0.245720810142074,Negligible,
85,2244.44604980875,2260.29536419157,15.84931438282,4.5,11.6,0.25,0.248465728001368,0.254828883887258,0.252277763163646,-0.0022777631636457,0.613708799452783,2245.40673828125,-0.911105265458279,1.51104683761006,Negligible,
86,2262.29536419157,2282.96529665367,20.6699324620995,4.5,11.6,0.25,0.246432777775151,0.255705951757623,0.248185408349298,0.00181459165070233,1.42688888993943,2282.90673828125,0.725836660280932,0.706177927946341,Negligible,
87,2285.96529665367,2301.55012719162,15.5848305379504,4.5,11.6,0.25,0.244982335158283,0.251037517135414,0.248787589842839,0.00121241015716053,2.0070659366868,2286.65673828125,0.484964062864213,1.52951949370154,Negligible,
88,2303.55012719162,2324.06302830219,20.5129011105737,4.5,11.6,0.25,0.243741478830909,0.254638854602261,0.246039473496829,0.00396052650317114,2.50340846763634,2323.98974609375,1.58421060126845,0.933994303133364,Negligible,
89,2327.06302830219,2343.07630310614,16.01327480395,4.5,11.6,0.25,0.243465223425242,0.252107322063307,0.246411091914359,0.00358890808564111,2.61391062990302,2327.3232421875,1.43556323425644,1.19550969326506,Negligible,
90,2345.07630310614,2364.63386595522,19.5575628490806,4.5,11.6,0.25,0.245076895896716,0.251543150613038,0.24620484930663,0.00379515069336955,1.96924164131376,2364.5732421875,1.51806027734782,0.45813614682709,Negligible,
91,2367.63386595522,2384.33106610619,16.6972001509698,4.5,11.6,0.25,0.245233610188457,0.268196357741874,0.24885643099391,0.00114356900609014,1.90655592461715,2367.65673828125,0.457427602436056,1.4557874960207,Negligible,
92,2386.33106610619,2405.83697640285,19.5059102966538,4.5,11.6,0.25,0.241816135172056,0.244947744538083,0.242939409811633,0.00706059018836719,3.27354593117774,2394.8232421875,2.82423607534688,0.462368226072542,Light,
93,2408.83697640285,2423.68593870493,14.8489623020778,4.5,11.6,0.25,0.24395800672224,0.259170718882139,0.245766425282843,0.00423357471715657,2.4167973111039,2408.90673828125,1.69342988686263,0.735828158187978,Negligible,
94,2425.68593870493,2446.72395045318,21.0380117482491,4.5,11.6,0.25,0.243140118812446,0.247879996095186,0.245301508046706,0.00469849195329367,2.74395247502147,2426.40673828125,1.87939678131747,0.881115347178574,Negligible,
95,2449.72395045318,2464.12646296155,14.402512508379,4.5,11.6,0.25,0.248311750477135,0.257731506200795,0.250197613381097,-0.000197613381097361,0.675299809145979,2457.23974609375,-0.0790453524389445,0.753749357748585,Negligible,
96,2466.12646296155,2504.83840013266,38.7119371711019,4.5,11.6,0.25,0.24598710951737,0.261159655513417,0.249393785763692,0.000606214236308217,1.60515619305199,2487.73974609375,0.242485694523287,1.36598281143609,Negligible,
97,2506.83840013266,2527.33873176374,20.5003316310863,4.5,11.6,0.25,0.241855092998665,0.245153185052026,0.243016081430967,0.00698391856903302,3.2579628005342,2520.23974609375,2.79356742761321,0.477741401090064,Light,
98,2530.33873176374,2544.73609856034,14.3973667965934,4.5,11.6,0.25,0.243795700535541,0.248489471167943,0.244655078397547,0.00534492160245342,2.48171978578356,2536.5732421875,2.13796864098137,0.35126099471725,Negligible,
99,2546.73609856034,2567.17191782308,20.4358192627456,4.5,11.6,0.25,0.238235703450168,0.241374446525249,0.23965998342735,0.0103400165726504,4.70571861993299,2567.15673828125,4.13600662906016,0.594291945118912,Light,
100,2570.17191782308,2585.99086156039,15.8189437373044,4.5,11.6,0.25,0.240001348359177,0.252039625426945,0.243317433136786,0.00668256686321361,3.99946065632938,2570.23974609375,2.67302674528545,1.36286362011127,Light,
101,2587.99086156039,2609.1126798644,21.1218183040105,4.5,11.6,0.25,0.240672800963984,0.244090028502052,0.242397118585025,0.00760288141497459,3.73087961440637,2589.15673828125,3.04115256598984,0.711360609856629,Light,
102,2612.1126798644,2626.43138581701,14.3187059526172,4.5,11.6,0.25,0.239594271563785,0.243291362688462,0.241595883271031,0.0084041167289691,4.16229137448603,2625.15673828125,3.36164669158764,0.828495784011556,Light,
103,2628.43138581701,2649.68351751743,21.252131700413,4.5,11.6,0.25,0.243649020887368,0.249588709313336,0.245777534640245,0.00422246535975518,2.54039164505294,2641.15673828125,1.68898614390207,0.866032672999497,Negligible,
104,2652.68351751743,2664.42919384338,11.7456763259488,4.5,11.6,0.25,0.244000593429652,0.247780224008614,0.24506771443606,0.00493228556394049,2.3997626281391,2652.73974609375,1.97291422557619,0.435439245378726,Negligible,
105,2666.42919384338,2690.25435517046,23.8251613270818,4.5,11.6,0.25,0.238414431304434,0.247714173837962,0.23934144080557,0.0106585591944303,4.63422747822641,2681.0732421875,4.26342367777214,0.387316754681329,Light,
106,2694.28344634883,2705.68395684343,11.4005104945977,4.5,11.6,0.25,0.23877932990236,0.243365091075156,0.240092246004082,0.00990775399591773,4.48826803905599,2703.8232421875,3.96310159836709,0.546838193891491,Light,
107,2707.68395684343,2746.667306929,38.9833500855761,4.5,11.6,0.25,0.240530193014126,0.254099751538423,0.24585996604092,0.0041400339590798,3.78792279434972,2732.8232421875,1.65601358363192,2.16780841249584,Light,
108,2748.667306929,2787.10783118563,38.4405242566277,4.5,11.6,0.25,0.240362295658469,0.2560380058088,0.245782426539992,0.00421757346000845,3.85508173661244,2773.65673828125,1.68702938400338,2.20525566364719,Light,
109,2789.10783118563,2828.36259418568,39.2547630000499,4.5,11.6,0.25,0.240129519292697,0.259849214436067,0.245601654938228,0.00439834506177225,3.94819228292107,2814.98974609375,1.7593380247089,2.22805324618303,Light,
110,2830.36259418568,2869.07453135678,38.7119371711019,4.5,11.6,0.25,0.242546088660842,0.260588036135308,0.24785363226033,0.00214636773966986,2.98156453566323,2855.8232421875,0.858547095867945,2.14140238780664,Negligible,
111,2871.07453135678,2909.78646852788,38.7119371711019,4.5,11.6,0.25,0.239614301692593,0.259609986732941,0.245671433739387,0.00432856626061251,4.15427932296277,2896.65673828125,1.731426504245,2.46554186402475,Light,
112,2911.78646852788,2950.22699278451,38.4405242566281,4.5,11.6,0.25,0.244087450854328,0.262485996307955,0.2507170828509,-0.000717082850899553,2.36501965826877,2936.90673828125,-0.286833140359821,2.64426816122223,Negligible,
113,2952.22699278451,2990.12469121219,37.8976984276796,4.5,11.6,0.25,0.240752292117246,0.256793316791675,0.246698152055273,0.00330184794472702,3.69908315310169,2977.73974609375,1.32073917789081,2.41017611542345,Light,
114,2992.12469121219,3029.7509767254,37.6262855132059,4.5,11.6,0.25,0.245886818619544,0.25570971418672,0.25165545000944,-0.00165545000944001,1.64527255218259,3019.0732421875,-0.662180003776003,2.29227357868867,Negligible,
115,3031.7509767254,3069.92008806755,38.1691113421539,4.5,11.6,0.25,0.241259716574338,0.250475162912776,0.246551422829296,0.00344857717070449,3.49611337026466,3060.65673828125,1.37943086828179,2.14628907602005,Light,
116,3071.92008806755,3111.44626398207,39.5261759145242,4.5,11.6,0.25,0.243836855335715,0.266929729638448,0.247940294786645,0.00205970521335536,2.46525786571393,3100.0732421875,0.823882085342142,1.65501112050404,Negligible,
